"gamma3","break_mag","method","criterion","nrmse_med","cov_med","frac_outside_hull","maha_ratio"
1,0.1,"Huber","ReserveTW4",1.01010868737223,0.8648,0.6594,10.3669573724916
1.5,0.1,"Huber","ReserveTW4",1.18312702091699,0.8648,0.6594,10.3669573724916
2,0.1,"Huber","ReserveTW4",0.89921754186625,0.9022,0.6594,10.3669573724916
0,0.2,"Huber","ReserveTW4",0.931005213952521,0.8834,0.6594,10.3669573724916
0.5,0.2,"Huber","ReserveTW4",1.03207515486594,0.8502,0.6594,10.3669573724916
1,0.2,"Huber","ReserveTW4",0.990216352920637,0.8542,0.6594,10.3669573724916
1.5,0.2,"Huber","ReserveTW4",1.15067076650037,0.854,0.6594,10.3669573724916
2,0.2,"Huber","ReserveTW4",0.894995433065549,0.8994,0.6594,10.3669573724916
0,0.3,"Huber","ReserveTW4",0.911899566513792,0.8728,0.6594,10.3669573724916
0.5,0.3,"Huber","ReserveTW4",1.00808689206877,0.8518,0.6594,10.3669573724916
1,0.3,"Huber","ReserveTW4",0.975951494147453,0.8456,0.6594,10.3669573724916
1.5,0.3,"Huber","ReserveTW4",1.124697430323,0.84,0.6594,10.3669573724916
2,0.3,"Huber","ReserveTW4",0.892276250318577,0.8946,0.6594,10.3669573724916
0,0.5,"Huber","ReserveTW4",0.908071229978376,0.839,0.6594,10.3669573724916
0.5,0.5,"Huber","ReserveTW4",0.966608412579747,0.847,0.6594,10.3669573724916
1,0.5,"Huber","ReserveTW4",0.961015602655468,0.8208,0.6594,10.3669573724916
1.5,0.5,"Huber","ReserveTW4",1.10820797560534,0.8116,0.6594,10.3669573724916
2,0.5,"Huber","ReserveTW4",0.878316603629835,0.871,0.6594,10.3669573724916
0,1,"Huber","ReserveTW4",0.931629984089245,0.7288,0.6594,10.3669573724916
0.5,1,"Huber","ReserveTW4",0.926467653164352,0.7554,0.6594,10.3669573724916
1,1,"Huber","ReserveTW4",0.974808171820206,0.7224,0.6594,10.3669573724916
1.5,1,"Huber","ReserveTW4",1.05480755364557,0.7618,0.6594,10.3669573724916
2,1,"Huber","ReserveTW4",0.92915063481609,0.7928,0.6594,10.3669573724916
0,0.1,"L1","ReserveTW4",1.20679599337772,0.8634,0.6594,10.3669573724916
0.5,0.1,"L1","ReserveTW4",0.95302587060329,0.883,0.6594,10.3669573724916
1,0.1,"L1","ReserveTW4",1.0906531989381,0.8766,0.6594,10.3669573724916
1.5,0.1,"L1","ReserveTW4",1.24727587034771,0.8442,0.6594,10.3669573724916
2,0.1,"L1","ReserveTW4",1.08476178168949,0.9,0.6594,10.3669573724916
0,0.2,"L1","ReserveTW4",1.15233024344359,0.862,0.6594,10.3669573724916
0.5,0.2,"L1","ReserveTW4",0.935931393225635,0.8784,0.6594,10.3669573724916
1,0.2,"L1","ReserveTW4",1.03072264998782,0.8764,0.6594,10.3669573724916
1.5,0.2,"L1","ReserveTW4",1.20816580241699,0.8382,0.6594,10.3669573724916
2,0.2,"L1","ReserveTW4",1.06016860681871,0.8946,0.6594,10.3669573724916
0,0.3,"L1","ReserveTW4",1.10549576562735,0.852,0.6594,10.3669573724916
0.5,0.3,"L1","ReserveTW4",0.924569382978211,0.8734,0.6594,10.3669573724916
1,0.3,"L1","ReserveTW4",0.982328373627615,0.8726,0.6594,10.3669573724916
1.5,0.3,"L1","ReserveTW4",1.17489237424577,0.837,0.6594,10.3669573724916
2,0.3,"L1","ReserveTW4",1.05347365701116,0.8878,0.6594,10.3669573724916
0,0.5,"L1","ReserveTW4",1.0328270566829,0.8288,0.6594,10.3669573724916
0.5,0.5,"L1","ReserveTW4",0.926473397229332,0.848,0.6594,10.3669573724916
1,0.5,"L1","ReserveTW4",0.937051164492851,0.8578,0.6594,10.3669573724916
1.5,0.5,"L1","ReserveTW4",1.12384497718332,0.8182,0.6594,10.3669573724916
2,0.5,"L1","ReserveTW4",1.05274944781984,0.8738,0.6594,10.3669573724916
0,1,"L1","ReserveTW4",0.999540573048621,0.732,0.6594,10.3669573724916
0.5,1,"L1","ReserveTW4",0.919240282914586,0.751,0.6594,10.3669573724916
1,1,"L1","ReserveTW4",0.904624451416587,0.7514,0.6594,10.3669573724916
1.5,1,"L1","ReserveTW4",1.051438925174,0.7644,0.6594,10.3669573724916
2,1,"L1","ReserveTW4",1.0377884065699,0.8006,0.6594,10.3669573724916
0,0.1,"LSE","ReserveTW4",0.986861030668007,0.8688,0.6594,10.3669573724916
0.5,0.1,"LSE","ReserveTW4",0.934351943006995,0.8828,0.6594,10.3669573724916
1,0.1,"LSE","ReserveTW4",1.00860645796819,0.857,0.6594,10.3669573724916
1.5,0.1,"LSE","ReserveTW4",1.23183191842468,0.828,0.6594,10.3669573724916
2,0.1,"LSE","ReserveTW4",0.878457254961883,0.9094,0.6594,10.3669573724916
0,0.2,"LSE","ReserveTW4",0.974907362595664,0.8584,0.6594,10.3669573724916
0.5,0.2,"LSE","ReserveTW4",0.907002900998579,0.8784,0.6594,10.3669573724916
1,0.2,"LSE","ReserveTW4",0.971364791610098,0.8514,0.6594,10.3669573724916
1.5,0.2,"LSE","ReserveTW4",1.15541407997346,0.8182,0.6594,10.3669573724916
2,0.2,"LSE","ReserveTW4",0.860373380217008,0.9032,0.6594,10.3669573724916
0,0.3,"LSE","ReserveTW4",0.969189030321164,0.8504,0.6594,10.3669573724916
0.5,0.3,"LSE","ReserveTW4",0.872689067787113,0.8686,0.6594,10.3669573724916
1,0.3,"LSE","ReserveTW4",0.959566116102617,0.8466,0.6594,10.3669573724916
1.5,0.3,"LSE","ReserveTW4",1.08783286295869,0.8036,0.6594,10.3669573724916
2,0.3,"LSE","ReserveTW4",0.850182974310543,0.8936,0.6594,10.3669573724916
0,0.5,"LSE","ReserveTW4",0.967950281927951,0.8238,0.6594,10.3669573724916
0.5,0.5,"LSE","ReserveTW4",0.840999607952845,0.8486,0.6594,10.3669573724916
1,0.5,"LSE","ReserveTW4",0.938269466780266,0.829,0.6594,10.3669573724916
1.5,0.5,"LSE","ReserveTW4",1.0144306102974,0.7894,0.6594,10.3669573724916
2,0.5,"LSE","ReserveTW4",0.828929438087892,0.873,0.6594,10.3669573724916
0,1,"LSE","ReserveTW4",0.961049854861913,0.7338,0.6594,10.3669573724916
0.5,1,"LSE","ReserveTW4",0.863989683546729,0.7528,0.6594,10.3669573724916
1,1,"LSE","ReserveTW4",0.880340723671386,0.7488,0.6594,10.3669573724916
1.5,1,"LSE","ReserveTW4",1.00670974269266,0.7242,0.6594,10.3669573724916
2,1,"LSE","ReserveTW4",0.872508313544367,0.7884,0.6594,10.3669573724916
0,0.1,"PMM","ReserveTW4",0.986861030668007,0.8688,0.6594,10.3669573724916
0.5,0.1,"PMM","ReserveTW4",1.05061650210554,0.8414,0.6594,10.3669573724916
1,0.1,"PMM","ReserveTW4",0.824926697235203,0.9048,0.6594,10.3669573724916
1.5,0.1,"PMM","ReserveTW4",0.89437478317371,0.8892,0.6594,10.3669573724916
2,0.1,"PMM","ReserveTW4",0.804229642940444,0.9204,0.6594,10.3669573724916
0,0.2,"PMM","ReserveTW4",0.974907362595664,0.8584,0.6594,10.3669573724916
0.5,0.2,"PMM","ReserveTW4",1.00974048186742,0.8478,0.6594,10.3669573724916
1,0.2,"PMM","ReserveTW4",0.810253817946806,0.8924,0.6594,10.3669573724916
1.5,0.2,"PMM","ReserveTW4",0.8913512290141,0.8824,0.6594,10.3669573724916
2,0.2,"PMM","ReserveTW4",0.778780018918527,0.9154,0.6594,10.3669573724916
0,0.3,"PMM","ReserveTW4",0.969189030321164,0.8504,0.6594,10.3669573724916
0.5,0.3,"PMM","ReserveTW4",0.97663780614708,0.8508,0.6594,10.3669573724916
1,0.3,"PMM","ReserveTW4",0.807657202101704,0.881,0.6594,10.3669573724916
1.5,0.3,"PMM","ReserveTW4",0.892483076000437,0.872,0.6594,10.3669573724916
2,0.3,"PMM","ReserveTW4",0.766160849656655,0.909,0.6594,10.3669573724916
0,0.5,"PMM","ReserveTW4",0.967950281927951,0.8238,0.6594,10.3669573724916
0.5,0.5,"PMM","ReserveTW4",0.927011510034755,0.8456,0.6594,10.3669573724916
1,0.5,"PMM","ReserveTW4",0.816256662207068,0.8576,0.6594,10.3669573724916
1.5,0.5,"PMM","ReserveTW4",0.904051547086286,0.8478,0.6594,10.3669573724916
2,0.5,"PMM","ReserveTW4",0.774241005930897,0.8838,0.6594,10.3669573724916
0,1,"PMM","ReserveTW4",0.961049854861913,0.7338,0.6594,10.3669573724916
0.5,1,"PMM","ReserveTW4",0.863213021501719,0.764,0.6594,10.3669573724916
1,1,"PMM","ReserveTW4",0.847263636183645,0.756,0.6594,10.3669573724916
1.5,1,"PMM","ReserveTW4",0.934446400195312,0.777,0.6594,10.3669573724916
2,1,"PMM","ReserveTW4",0.814735524195114,0.795,0.6594,10.3669573724916
0,0.1,"ridge-LSE","ReserveTW4",0.987142689736745,0.8746,0.6594,10.3669573724916
0.5,0.1,"ridge-LSE","ReserveTW4",0.904510357254807,0.8884,0.6594,10.3669573724916
1,0.1,"ridge-LSE","ReserveTW4",0.93628401336503,0.8652,0.6594,10.3669573724916
1.5,0.1,"ridge-LSE","ReserveTW4",1.1713906742937,0.8408,0.6594,10.3669573724916
2,0.1,"ridge-LSE","ReserveTW4",0.859831579242695,0.9108,0.6594,10.3669573724916
0,0.2,"ridge-LSE","ReserveTW4",0.959537888719242,0.8662,0.6594,10.3669573724916
0.5,0.2,"ridge-LSE","ReserveTW4",0.861552657949862,0.886,0.6594,10.3669573724916
1,0.2,"ridge-LSE","ReserveTW4",0.91515698201451,0.8614,0.6594,10.3669573724916
1.5,0.2,"ridge-LSE","ReserveTW4",1.11618426813154,0.839,0.6594,10.3669573724916
2,0.2,"ridge-LSE","ReserveTW4",0.843924321790611,0.9052,0.6594,10.3669573724916
0,0.3,"ridge-LSE","ReserveTW4",0.947649999934924,0.86,0.6594,10.3669573724916
0.5,0.3,"ridge-LSE","ReserveTW4",0.827729210172499,0.8844,0.6594,10.3669573724916
1,0.3,"ridge-LSE","ReserveTW4",0.881740626316958,0.8556,0.6594,10.3669573724916
1.5,0.3,"ridge-LSE","ReserveTW4",1.06769725668177,0.8326,0.6594,10.3669573724916
2,0.3,"ridge-LSE","ReserveTW4",0.82660188012324,0.895,0.6594,10.3669573724916
0,0.5,"ridge-LSE","ReserveTW4",0.956103314045779,0.8418,0.6594,10.3669573724916
0.5,0.5,"ridge-LSE","ReserveTW4",0.805493241016869,0.864,0.6594,10.3669573724916
1,0.5,"ridge-LSE","ReserveTW4",0.836727396420539,0.839,0.6594,10.3669573724916
1.5,0.5,"ridge-LSE","ReserveTW4",1.01442639398568,0.8064,0.6594,10.3669573724916
2,0.5,"ridge-LSE","ReserveTW4",0.806631163343566,0.8786,0.6594,10.3669573724916
0,1,"ridge-LSE","ReserveTW4",0.960238498828176,0.7412,0.6594,10.3669573724916
0.5,1,"ridge-LSE","ReserveTW4",0.83833315229355,0.7704,0.6594,10.3669573724916
1,1,"ridge-LSE","ReserveTW4",0.850078570078145,0.7556,0.6594,10.3669573724916
1.5,1,"ridge-LSE","ReserveTW4",1.00572601781382,0.746,0.6594,10.3669573724916
2,1,"ridge-LSE","ReserveTW4",0.854228900083986,0.7938,0.6594,10.3669573724916
