"gamma3","break_mag","method","criterion","nrmse_med","cov_med","frac_outside_hull","maha_ratio"
2,1,"Huber","MSE",0.834270069507155,0.82,0.6534,10.132491012116
0,0.1,"L1","MSE",1.10666384161189,0.8504,0.6534,10.132491012116
0.5,0.1,"L1","MSE",0.857364546570844,0.905,0.6534,10.132491012116
1,0.1,"L1","MSE",0.804610953394637,0.9234,0.6534,10.132491012116
1.5,0.1,"L1","MSE",1.10249397782314,0.9152,0.6534,10.132491012116
2,0.1,"L1","MSE",0.862945913057461,0.9278,0.6534,10.132491012116
0,0.2,"L1","MSE",1.07044089436423,0.842,0.6534,10.132491012116
0.5,0.2,"L1","MSE",0.832029669133786,0.8998,0.6534,10.132491012116
1,0.2,"L1","MSE",0.799557049709386,0.9178,0.6534,10.132491012116
1.5,0.2,"L1","MSE",1.08269229821763,0.9058,0.6534,10.132491012116
2,0.2,"L1","MSE",0.856632840857575,0.9222,0.6534,10.132491012116
0,0.3,"L1","MSE",1.04080534870082,0.8308,0.6534,10.132491012116
0.5,0.3,"L1","MSE",0.825613468711741,0.8908,0.6534,10.132491012116
1,0.3,"L1","MSE",0.79085509952212,0.91,0.6534,10.132491012116
1.5,0.3,"L1","MSE",1.06726653833946,0.8982,0.6534,10.132491012116
2,0.3,"L1","MSE",0.855802533598268,0.9154,0.6534,10.132491012116
0,0.5,"L1","MSE",0.998518982883197,0.8014,0.6534,10.132491012116
0.5,0.5,"L1","MSE",0.816163840434411,0.8638,0.6534,10.132491012116
1,0.5,"L1","MSE",0.766563643057667,0.8878,0.6534,10.132491012116
1.5,0.5,"L1","MSE",1.01455557539608,0.8776,0.6534,10.132491012116
2,0.5,"L1","MSE",0.866246148320808,0.8964,0.6534,10.132491012116
0,1,"L1","MSE",0.961090505360965,0.6828,0.6534,10.132491012116
0.5,1,"L1","MSE",0.849302161397068,0.762,0.6534,10.132491012116
1,1,"L1","MSE",0.802609098374831,0.8028,0.6534,10.132491012116
1.5,1,"L1","MSE",0.971940256722916,0.811,0.6534,10.132491012116
2,1,"L1","MSE",0.916247044697302,0.8142,0.6534,10.132491012116
0,0.1,"LSE","MSE",0.925136323800774,0.8756,0.6534,10.132491012116
0.5,0.1,"LSE","MSE",1.34793095307623,0.8394,0.6534,10.132491012116
1,0.1,"LSE","MSE",0.80055055029316,0.9124,0.6534,10.132491012116
1.5,0.1,"LSE","MSE",0.888298952314202,0.9248,0.6534,10.132491012116
2,0.1,"LSE","MSE",0.843324447207123,0.924,0.6534,10.132491012116
0,0.2,"LSE","MSE",0.917702476564524,0.8622,0.6534,10.132491012116
0.5,0.2,"LSE","MSE",1.29332963645161,0.843,0.6534,10.132491012116
1,0.2,"LSE","MSE",0.789546913365706,0.9048,0.6534,10.132491012116
1.5,0.2,"LSE","MSE",0.864270934743824,0.9188,0.6534,10.132491012116
2,0.2,"LSE","MSE",0.810489679409431,0.9166,0.6534,10.132491012116
0,0.3,"LSE","MSE",0.914729881818326,0.8504,0.6534,10.132491012116
0.5,0.3,"LSE","MSE",1.24636760790908,0.8478,0.6534,10.132491012116
1,0.3,"LSE","MSE",0.784987964541998,0.8946,0.6534,10.132491012116
1.5,0.3,"LSE","MSE",0.847791432979435,0.9148,0.6534,10.132491012116
2,0.3,"LSE","MSE",0.786164400717438,0.9084,0.6534,10.132491012116
0,0.5,"LSE","MSE",0.918711029292297,0.811,0.6534,10.132491012116
0.5,0.5,"LSE","MSE",1.19437034437419,0.8424,0.6534,10.132491012116
1,0.5,"LSE","MSE",0.790516067804244,0.8658,0.6534,10.132491012116
1.5,0.5,"LSE","MSE",0.832496033918605,0.8952,0.6534,10.132491012116
2,0.5,"LSE","MSE",0.759972445648052,0.893,0.6534,10.132491012116
0,1,"LSE","MSE",0.957583405886476,0.671,0.6534,10.132491012116
0.5,1,"LSE","MSE",1.13726667666246,0.766,0.6534,10.132491012116
1,1,"LSE","MSE",0.847121388953442,0.7494,0.6534,10.132491012116
1.5,1,"LSE","MSE",0.839753887591906,0.814,0.6534,10.132491012116
2,1,"LSE","MSE",0.805417370322671,0.8178,0.6534,10.132491012116
0,0.1,"PMM","MSE",0.925136323800774,0.8756,0.6534,10.132491012116
0.5,0.1,"PMM","MSE",0.812656889520701,0.9182,0.6534,10.132491012116
1,0.1,"PMM","MSE",0.774694856904071,0.9302,0.6534,10.132491012116
1.5,0.1,"PMM","MSE",0.793689215324443,0.9316,0.6534,10.132491012116
2,0.1,"PMM","MSE",0.776999557418113,0.9344,0.6534,10.132491012116
0,0.2,"PMM","MSE",0.917702476564524,0.8622,0.6534,10.132491012116
0.5,0.2,"PMM","MSE",0.778229242363029,0.916,0.6534,10.132491012116
1,0.2,"PMM","MSE",0.753589135469536,0.9238,0.6534,10.132491012116
1.5,0.2,"PMM","MSE",0.778279077907718,0.9222,0.6534,10.132491012116
2,0.2,"PMM","MSE",0.761211283873287,0.93,0.6534,10.132491012116
0,0.3,"PMM","MSE",0.914729881818326,0.8504,0.6534,10.132491012116
0.5,0.3,"PMM","MSE",0.753378670334997,0.9112,0.6534,10.132491012116
1,0.3,"PMM","MSE",0.737857491025793,0.9176,0.6534,10.132491012116
1.5,0.3,"PMM","MSE",0.774020746004623,0.913,0.6534,10.132491012116
2,0.3,"PMM","MSE",0.754068683918948,0.9224,0.6534,10.132491012116
0,0.5,"PMM","MSE",0.918711029292297,0.811,0.6534,10.132491012116
0.5,0.5,"PMM","MSE",0.748275528009078,0.8914,0.6534,10.132491012116
1,0.5,"PMM","MSE",0.724044978374957,0.8918,0.6534,10.132491012116
1.5,0.5,"PMM","MSE",0.780227214723645,0.8898,0.6534,10.132491012116
2,0.5,"PMM","MSE",0.755574194068009,0.9028,0.6534,10.132491012116
0,1,"PMM","MSE",0.957583405886476,0.671,0.6534,10.132491012116
0.5,1,"PMM","MSE",0.807605950807673,0.7902,0.6534,10.132491012116
1,1,"PMM","MSE",0.773959565442561,0.7954,0.6534,10.132491012116
1.5,1,"PMM","MSE",0.837743970945959,0.8106,0.6534,10.132491012116
2,1,"PMM","MSE",0.799984089316605,0.816,0.6534,10.132491012116
0,0.1,"ridge-LSE","MSE",0.98243244335524,0.8544,0.6534,10.132491012116
0.5,0.1,"ridge-LSE","MSE",0.825237136471907,0.9058,0.6534,10.132491012116
1,0.1,"ridge-LSE","MSE",0.800550043439667,0.9124,0.6534,10.132491012116
1.5,0.1,"ridge-LSE","MSE",0.88816329626244,0.9194,0.6534,10.132491012116
2,0.1,"ridge-LSE","MSE",0.813813686904451,0.924,0.6534,10.132491012116
0,0.2,"ridge-LSE","MSE",0.969560964284506,0.843,0.6534,10.132491012116
0.5,0.2,"ridge-LSE","MSE",0.787918334564485,0.9078,0.6534,10.132491012116
1,0.2,"ridge-LSE","MSE",0.789546605274073,0.9048,0.6534,10.132491012116
1.5,0.2,"ridge-LSE","MSE",0.86248343888075,0.9146,0.6534,10.132491012116
2,0.2,"ridge-LSE","MSE",0.786941261292498,0.9166,0.6534,10.132491012116
0,0.3,"ridge-LSE","MSE",0.961418180783908,0.8298,0.6534,10.132491012116
0.5,0.3,"ridge-LSE","MSE",0.7647126043816,0.909,0.6534,10.132491012116
1,0.3,"ridge-LSE","MSE",0.784987833831474,0.8946,0.6534,10.132491012116
1.5,0.3,"ridge-LSE","MSE",0.846128443283639,0.9096,0.6534,10.132491012116
2,0.3,"ridge-LSE","MSE",0.768435540540452,0.9084,0.6534,10.132491012116
0,0.5,"ridge-LSE","MSE",0.956103314045779,0.7986,0.6534,10.132491012116
0.5,0.5,"ridge-LSE","MSE",0.763658989627515,0.8926,0.6534,10.132491012116
1,0.5,"ridge-LSE","MSE",0.790516222154678,0.8658,0.6534,10.132491012116
1.5,0.5,"ridge-LSE","MSE",0.831091093988625,0.8946,0.6534,10.132491012116
2,0.5,"ridge-LSE","MSE",0.756313130190487,0.893,0.6534,10.132491012116
0,1,"ridge-LSE","MSE",0.978278266167258,0.6768,0.6534,10.132491012116
0.5,1,"ridge-LSE","MSE",0.824853753161012,0.801,0.6534,10.132491012116
1,1,"ridge-LSE","MSE",0.84712191617944,0.7494,0.6534,10.132491012116
1.5,1,"ridge-LSE","MSE",0.844464394033757,0.815,0.6534,10.132491012116
2,1,"ridge-LSE","MSE",0.787424633222253,0.8178,0.6534,10.132491012116
0,0.1,"Huber","ReserveTW4",0.876556442279097,0.8916,0.6534,10.132491012116
0.5,0.1,"Huber","ReserveTW4",1.40019624471408,0.8588,0.6534,10.132491012116
1,0.1,"Huber","ReserveTW4",0.802071880032979,0.907,0.6534,10.132491012116
1.5,0.1,"Huber","ReserveTW4",1.22772280859977,0.8392,0.6534,10.132491012116
2,0.1,"Huber","ReserveTW4",0.786438419231944,0.9304,0.6534,10.132491012116
0,0.2,"Huber","ReserveTW4",0.87103099862165,0.8834,0.6534,10.132491012116
0.5,0.2,"Huber","ReserveTW4",1.34119040440992,0.8636,0.6534,10.132491012116
1,0.2,"Huber","ReserveTW4",0.7850789696346,0.8984,0.6534,10.132491012116
1.5,0.2,"Huber","ReserveTW4",1.19765255217687,0.8356,0.6534,10.132491012116
2,0.2,"Huber","ReserveTW4",0.776105382374463,0.9254,0.6534,10.132491012116
0,0.3,"Huber","ReserveTW4",0.873461329509377,0.8728,0.6534,10.132491012116
0.5,0.3,"Huber","ReserveTW4",1.27399878135618,0.8624,0.6534,10.132491012116
1,0.3,"Huber","ReserveTW4",0.781961894707983,0.8874,0.6534,10.132491012116
1.5,0.3,"Huber","ReserveTW4",1.17267613145795,0.8292,0.6534,10.132491012116
2,0.3,"Huber","ReserveTW4",0.773734484599905,0.9166,0.6534,10.132491012116
0,0.5,"Huber","ReserveTW4",0.888239034020788,0.8424,0.6534,10.132491012116
0.5,0.5,"Huber","ReserveTW4",1.16385516686276,0.8534,0.6534,10.132491012116
1,0.5,"Huber","ReserveTW4",0.790727105101155,0.8592,0.6534,10.132491012116
1.5,0.5,"Huber","ReserveTW4",1.1359027384758,0.815,0.6534,10.132491012116
2,0.5,"Huber","ReserveTW4",0.785003846374312,0.898,0.6534,10.132491012116
0,1,"Huber","ReserveTW4",0.931629984089245,0.7228,0.6534,10.132491012116
0.5,1,"Huber","ReserveTW4",1.00233573630253,0.7922,0.6534,10.132491012116
1,1,"Huber","ReserveTW4",0.854792547712748,0.7584,0.6534,10.132491012116
1.5,1,"Huber","ReserveTW4",1.08135150530821,0.7662,0.6534,10.132491012116
2,1,"Huber","ReserveTW4",0.856284351087177,0.8142,0.6534,10.132491012116
0,0.1,"L1","ReserveTW4",0.948181434058065,0.8692,0.6534,10.132491012116
0.5,0.1,"L1","ReserveTW4",0.908432699981708,0.8936,0.6534,10.132491012116
1,0.1,"L1","ReserveTW4",0.864692538925006,0.9202,0.6534,10.132491012116
1.5,0.1,"L1","ReserveTW4",1.18552921314127,0.8492,0.6534,10.132491012116
2,0.1,"L1","ReserveTW4",0.915482127438208,0.922,0.6534,10.132491012116
0,0.2,"L1","ReserveTW4",0.919489751292154,0.865,0.6534,10.132491012116
0.5,0.2,"L1","ReserveTW4",0.884825524453515,0.89,0.6534,10.132491012116
1,0.2,"L1","ReserveTW4",0.824756931840866,0.9102,0.6534,10.132491012116
1.5,0.2,"L1","ReserveTW4",1.14926035534273,0.8436,0.6534,10.132491012116
2,0.2,"L1","ReserveTW4",0.90322208359541,0.9166,0.6534,10.132491012116
0,0.3,"L1","ReserveTW4",0.89834404289251,0.8552,0.6534,10.132491012116
0.5,0.3,"L1","ReserveTW4",0.873888002009885,0.8852,0.6534,10.132491012116
1,0.3,"L1","ReserveTW4",0.802847418700595,0.9,0.6534,10.132491012116
1.5,0.3,"L1","ReserveTW4",1.11917309985523,0.8372,0.6534,10.132491012116
2,0.3,"L1","ReserveTW4",0.896636913958835,0.9094,0.6534,10.132491012116
0,0.5,"L1","ReserveTW4",0.899359721345263,0.8258,0.6534,10.132491012116
0.5,0.5,"L1","ReserveTW4",0.855431066521448,0.8736,0.6534,10.132491012116
1,0.5,"L1","ReserveTW4",0.81344192714284,0.8806,0.6534,10.132491012116
1.5,0.5,"L1","ReserveTW4",1.07496882882593,0.8262,0.6534,10.132491012116
2,0.5,"L1","ReserveTW4",0.904371893044344,0.8878,0.6534,10.132491012116
0,1,"L1","ReserveTW4",0.94353777385381,0.7184,0.6534,10.132491012116
0.5,1,"L1","ReserveTW4",0.854965128387373,0.786,0.6534,10.132491012116
1,1,"L1","ReserveTW4",0.819101976593259,0.8032,0.6534,10.132491012116
1.5,1,"L1","ReserveTW4",1.03615393764731,0.7722,0.6534,10.132491012116
2,1,"L1","ReserveTW4",0.956292648037241,0.808,0.6534,10.132491012116
0,0.1,"LSE","ReserveTW4",0.925136323800774,0.8756,0.6534,10.132491012116
0.5,0.1,"LSE","ReserveTW4",0.986456092827074,0.8334,0.6534,10.132491012116
1,0.1,"LSE","ReserveTW4",0.80055055029316,0.9124,0.6534,10.132491012116
1.5,0.1,"LSE","ReserveTW4",0.890639406931495,0.9046,0.6534,10.132491012116
2,0.1,"LSE","ReserveTW4",0.808086231759726,0.9222,0.6534,10.132491012116
0,0.2,"LSE","ReserveTW4",0.917702476564524,0.8622,0.6534,10.132491012116
0.5,0.2,"LSE","ReserveTW4",0.949750542540304,0.8318,0.6534,10.132491012116
1,0.2,"LSE","ReserveTW4",0.789546913365706,0.9048,0.6534,10.132491012116
1.5,0.2,"LSE","ReserveTW4",0.865283841303102,0.8956,0.6534,10.132491012116
2,0.2,"LSE","ReserveTW4",0.790315892944873,0.9176,0.6534,10.132491012116
0,0.3,"LSE","ReserveTW4",0.914729881818326,0.8504,0.6534,10.132491012116
0.5,0.3,"LSE","ReserveTW4",0.92057876598073,0.8286,0.6534,10.132491012116
1,0.3,"LSE","ReserveTW4",0.784987964541998,0.8946,0.6534,10.132491012116
1.5,0.3,"LSE","ReserveTW4",0.84861338537644,0.8874,0.6534,10.132491012116
2,0.3,"LSE","ReserveTW4",0.779991859185833,0.9082,0.6534,10.132491012116
0,0.5,"LSE","ReserveTW4",0.918711029292297,0.82,0.6534,10.132491012116
0.5,0.5,"LSE","ReserveTW4",0.885119344039897,0.8184,0.6534,10.132491012116
1,0.5,"LSE","ReserveTW4",0.790516067804244,0.8658,0.6534,10.132491012116
1.5,0.5,"LSE","ReserveTW4",0.845350470391988,0.874,0.6534,10.132491012116
2,0.5,"LSE","ReserveTW4",0.77696853943014,0.8896,0.6534,10.132491012116
0,1,"LSE","ReserveTW4",0.958867548876339,0.708,0.6534,10.132491012116
0.5,1,"LSE","ReserveTW4",0.875191548437458,0.746,0.6534,10.132491012116
1,1,"LSE","ReserveTW4",0.847121388953442,0.7734,0.6534,10.132491012116
1.5,1,"LSE","ReserveTW4",0.849282921157135,0.8202,0.6534,10.132491012116
2,1,"LSE","ReserveTW4",0.819000759884965,0.809,0.6534,10.132491012116
0,0.1,"PMM","ReserveTW4",0.925136323800774,0.8756,0.6534,10.132491012116
0.5,0.1,"PMM","ReserveTW4",0.999428125330926,0.865,0.6534,10.132491012116
1,0.1,"PMM","ReserveTW4",0.79814325275089,0.9098,0.6534,10.132491012116
1.5,0.1,"PMM","ReserveTW4",0.944630547326644,0.8904,0.6534,10.132491012116
2,0.1,"PMM","ReserveTW4",0.761437587144809,0.9324,0.6534,10.132491012116
0,0.2,"PMM","ReserveTW4",0.917702476564524,0.8622,0.6534,10.132491012116
0.5,0.2,"PMM","ReserveTW4",0.95166837645976,0.8642,0.6534,10.132491012116
1,0.2,"PMM","ReserveTW4",0.776871921755052,0.9022,0.6534,10.132491012116
1.5,0.2,"PMM","ReserveTW4",0.913389191770632,0.8858,0.6534,10.132491012116
2,0.2,"PMM","ReserveTW4",0.739927311534637,0.9292,0.6534,10.132491012116
0,0.3,"PMM","ReserveTW4",0.914729881818326,0.8504,0.6534,10.132491012116
0.5,0.3,"PMM","ReserveTW4",0.912561810814556,0.8604,0.6534,10.132491012116
1,0.3,"PMM","ReserveTW4",0.767822220107572,0.8952,0.6534,10.132491012116
1.5,0.3,"PMM","ReserveTW4",0.890210514202021,0.8798,0.6534,10.132491012116
2,0.3,"PMM","ReserveTW4",0.727697135000966,0.923,0.6534,10.132491012116
0,0.5,"PMM","ReserveTW4",0.918711029292297,0.82,0.6534,10.132491012116
0.5,0.5,"PMM","ReserveTW4",0.857483502011867,0.8456,0.6534,10.132491012116
1,0.5,"PMM","ReserveTW4",0.769630724383766,0.8666,0.6534,10.132491012116
1.5,0.5,"PMM","ReserveTW4",0.864099865529428,0.8626,0.6534,10.132491012116
2,0.5,"PMM","ReserveTW4",0.725188053610259,0.9038,0.6534,10.132491012116
0,1,"PMM","ReserveTW4",0.958867548876339,0.708,0.6534,10.132491012116
0.5,1,"PMM","ReserveTW4",0.832088352568392,0.7676,0.6534,10.132491012116
1,1,"PMM","ReserveTW4",0.82554293284394,0.7542,0.6534,10.132491012116
1.5,1,"PMM","ReserveTW4",0.875135366158312,0.7998,0.6534,10.132491012116
2,1,"PMM","ReserveTW4",0.780358840653884,0.8174,0.6534,10.132491012116
0,0.1,"ridge-LSE","ReserveTW4",0.98243244335524,0.8564,0.6534,10.132491012116
0.5,0.1,"ridge-LSE","ReserveTW4",0.809801690069395,0.9196,0.6534,10.132491012116
1,0.1,"ridge-LSE","ReserveTW4",0.800550043439667,0.9124,0.6534,10.132491012116
1.5,0.1,"ridge-LSE","ReserveTW4",0.890830559228808,0.9042,0.6534,10.132491012116
2,0.1,"ridge-LSE","ReserveTW4",0.807307640397497,0.9222,0.6534,10.132491012116
0,0.2,"ridge-LSE","ReserveTW4",0.969560964284506,0.8514,0.6534,10.132491012116
0.5,0.2,"ridge-LSE","ReserveTW4",0.786677347654223,0.915,0.6534,10.132491012116
1,0.2,"ridge-LSE","ReserveTW4",0.789546605274073,0.9048,0.6534,10.132491012116
1.5,0.2,"ridge-LSE","ReserveTW4",0.865426783467124,0.8966,0.6534,10.132491012116
2,0.2,"ridge-LSE","ReserveTW4",0.789527274691372,0.9176,0.6534,10.132491012116
0,0.3,"ridge-LSE","ReserveTW4",0.961418180783908,0.8432,0.6534,10.132491012116
0.5,0.3,"ridge-LSE","ReserveTW4",0.780435911272757,0.9108,0.6534,10.132491012116
1,0.3,"ridge-LSE","ReserveTW4",0.784987833831474,0.8946,0.6534,10.132491012116
1.5,0.3,"ridge-LSE","ReserveTW4",0.847053823587172,0.8902,0.6534,10.132491012116
2,0.3,"ridge-LSE","ReserveTW4",0.779204540074292,0.9086,0.6534,10.132491012116
0,0.5,"ridge-LSE","ReserveTW4",0.956103314045779,0.8196,0.6534,10.132491012116
0.5,0.5,"ridge-LSE","ReserveTW4",0.783580592286166,0.89,0.6534,10.132491012116
1,0.5,"ridge-LSE","ReserveTW4",0.790516222154678,0.8658,0.6534,10.132491012116
1.5,0.5,"ridge-LSE","ReserveTW4",0.834326506600395,0.8816,0.6534,10.132491012116
2,0.5,"ridge-LSE","ReserveTW4",0.776209505048771,0.8884,0.6534,10.132491012116
0,1,"ridge-LSE","ReserveTW4",0.978278266167258,0.709,0.6534,10.132491012116
0.5,1,"ridge-LSE","ReserveTW4",0.830188187288116,0.7866,0.6534,10.132491012116
1,1,"ridge-LSE","ReserveTW4",0.836268395415934,0.7762,0.6534,10.132491012116
1.5,1,"ridge-LSE","ReserveTW4",0.846329024868261,0.82,0.6534,10.132491012116
2,1,"ridge-LSE","ReserveTW4",0.818001226724751,0.8084,0.6534,10.132491012116
